image_file,total_detections,Bbox
final/full_stack/final_full_stack0018.tif,3,"[0.06856920570135117, 0.450484961271286, 0.13713841140270233, 0.13112781941890717]"
final/full_stack/final_full_stack0018.tif,3,"[0.3684506118297577, 0.9526966214179993, 0.13823579251766205, 0.09460675716400146]"
final/full_stack/final_full_stack0019.tif,3,"[0.6934852004051208, 0.45620280504226685, 0.16897296905517578, 0.13463258743286133]"
final/full_stack/final_full_stack0019.tif,3,"[0.06892288476228714, 0.4491005539894104, 0.13784576952457428, 0.13339221477508545]"
final/full_stack/final_full_stack0019.tif,3,"[0.36817213892936707, 0.9534388780593872, 0.13983692228794098, 0.09312225133180618]"
final/full_stack/final_full_stack0020.tif,3,"[0.693717896938324, 0.4560351073741913, 0.16926050186157227, 0.1346839815378189]"
final/full_stack/final_full_stack0020.tif,3,"[0.36732742190361023, 0.9538028240203857, 0.13833020627498627, 0.09239427000284195]"
final/full_stack/final_full_stack0020.tif,3,"[0.06935581564903259, 0.44879844784736633, 0.13871163129806519, 0.1342577040195465]"
final/full_stack/final_full_stack0021.tif,3,"[0.694198727607727, 0.4557175934314728, 0.16874822974205017, 0.13464032113552094]"
final/full_stack/final_full_stack0021.tif,3,"[0.06934522092342377, 0.44868573546409607, 0.13869044184684753, 0.1316685974597931]"
final/full_stack/final_full_stack0021.tif,3,"[0.36629176139831543, 0.9537502527236938, 0.13845635950565338, 0.09249941259622574]"
final/full_stack/final_full_stack0022.tif,3,"[0.6935793161392212, 0.4551607668399811, 0.1681855469942093, 0.13421203196048737]"
final/full_stack/final_full_stack0022.tif,3,"[0.06903517246246338, 0.4472193717956543, 0.13807034492492676, 0.12777049839496613]"
final/full_stack/final_full_stack0022.tif,3,"[0.3654331564903259, 0.9540120959281921, 0.1368134766817093, 0.09197567403316498]"
final/full_stack/final_full_stack0023.tif,3,"[0.6937143802642822, 0.45504534244537354, 0.16925545036792755, 0.1350569725036621]"
final/full_stack/final_full_stack0023.tif,3,"[0.06816375255584717, 0.44721612334251404, 0.13632750511169434, 0.12591582536697388]"
final/full_stack/final_full_stack0023.tif,3,"[0.3649185001850128, 0.9543118476867676, 0.13488568365573883, 0.09137638658285141]"
final/full_stack/final_full_stack0024.tif,3,"[0.6942034363746643, 0.4555058777332306, 0.17001394927501678, 0.13566160202026367]"
final/full_stack/final_full_stack0024.tif,3,"[0.06765139847993851, 0.44967973232269287, 0.13530279695987701, 0.12739896774291992]"
final/full_stack/final_full_stack0024.tif,3,"[0.36496710777282715, 0.954487681388855, 0.1327071338891983, 0.09102454781532288]"
final/full_stack/final_full_stack0025.tif,3,"[0.6939573884010315, 0.45483729243278503, 0.1699850708246231, 0.13558311760425568]"
final/full_stack/final_full_stack0025.tif,3,"[0.0672597885131836, 0.4494510591030121, 0.1345195770263672, 0.12718917429447174]"
final/full_stack/final_full_stack0025.tif,3,"[0.364271879196167, 0.9543048143386841, 0.1371379792690277, 0.09139028936624527]"
final/full_stack/final_full_stack0026.tif,3,"[0.06821687519550323, 0.44828638434410095, 0.13643375039100647, 0.12845200300216675]"
final/full_stack/final_full_stack0026.tif,3,"[0.6934114098548889, 0.4545634090900421, 0.17088362574577332, 0.1366967409849167]"
final/full_stack/final_full_stack0026.tif,3,"[0.36369094252586365, 0.9541223645210266, 0.13937297463417053, 0.09175536036491394]"
final/full_stack/final_full_stack0027.tif,3,"[0.06812383234500885, 0.44778481125831604, 0.1362476646900177, 0.1280883252620697]"
final/full_stack/final_full_stack0027.tif,3,"[0.6932424306869507, 0.4551246762275696, 0.17202141880989075, 0.1366787552833557]"
final/full_stack/final_full_stack0027.tif,3,"[0.3644762337207794, 0.9543265104293823, 0.1372038573026657, 0.09134697914123535]"
final/full_stack/final_full_stack0028.tif,3,"[0.06834570318460464, 0.4492325484752655, 0.1366914063692093, 0.1268136352300644]"
final/full_stack/final_full_stack0028.tif,3,"[0.6930945515632629, 0.45649710297584534, 0.16937848925590515, 0.1323060691356659]"
final/full_stack/final_full_stack0028.tif,3,"[0.3641071319580078, 0.9542316794395447, 0.13751961290836334, 0.0915367528796196]"
final/full_stack/final_full_stack0029.tif,3,"[0.0679449662566185, 0.4492326080799103, 0.135889932513237, 0.12872007489204407]"
final/full_stack/final_full_stack0029.tif,3,"[0.6923902630805969, 0.4557771682739258, 0.17087680101394653, 0.12973473966121674]"
final/full_stack/final_full_stack0029.tif,3,"[0.363594651222229, 0.9541317820549011, 0.13727590441703796, 0.09173636138439178]"
final/full_stack/final_full_stack0030.tif,3,"[0.6928375363349915, 0.45592978596687317, 0.16932980716228485, 0.13397131860256195]"
final/full_stack/final_full_stack0030.tif,3,"[0.06785870343446732, 0.45081937313079834, 0.13571740686893463, 0.13091601431369781]"
final/full_stack/final_full_stack0030.tif,3,"[0.3622891306877136, 0.9538818001747131, 0.13700297474861145, 0.09223627299070358]"
final/full_stack/final_full_stack0031.tif,3,"[0.6926877498626709, 0.45649757981300354, 0.16891761124134064, 0.13472600281238556]"
final/full_stack/final_full_stack0031.tif,3,"[0.06778103858232498, 0.45133090019226074, 0.13556207716464996, 0.1293165683746338]"
final/full_stack/final_full_stack0031.tif,3,"[0.3605515956878662, 0.9531116485595703, 0.14086560904979706, 0.09373978525400162]"
final/full_stack/final_full_stack0032.tif,3,"[0.692729651927948, 0.45653605461120605, 0.17044571042060852, 0.135947585105896]"
final/full_stack/final_full_stack0032.tif,3,"[0.06825929880142212, 0.45022764801979065, 0.13651859760284424, 0.1295560747385025]"
final/full_stack/final_full_stack0032.tif,3,"[0.3597389757633209, 0.9533466100692749, 0.14053985476493835, 0.09313435107469559]"
final/full_stack/final_full_stack0033.tif,3,"[0.6928088665008545, 0.4562426507472992, 0.17043067514896393, 0.13464275002479553]"
final/full_stack/final_full_stack0033.tif,3,"[0.0679398849606514, 0.4489103853702545, 0.1358797699213028, 0.13185368478298187]"
final/full_stack/final_full_stack0033.tif,3,"[0.3605976104736328, 0.9546724557876587, 0.14101850986480713, 0.09065493196249008]"
final/full_stack/final_full_stack0034.tif,3,"[0.6927126049995422, 0.4565880298614502, 0.17058834433555603, 0.13547272980213165]"
final/full_stack/final_full_stack0034.tif,3,"[0.0686282068490982, 0.44872695207595825, 0.1372564136981964, 0.1285172700881958]"
final/full_stack/final_full_stack0034.tif,3,"[0.36025097966194153, 0.9544105529785156, 0.14008602499961853, 0.09117886424064636]"
final/full_stack/final_full_stack0035.tif,3,"[0.692585825920105, 0.45703747868537903, 0.1700228601694107, 0.13651549816131592]"
final/full_stack/final_full_stack0035.tif,3,"[0.06830450147390366, 0.44883859157562256, 0.1366090029478073, 0.12777350842952728]"
final/full_stack/final_full_stack0035.tif,3,"[0.3612818717956543, 0.95469731092453, 0.13764789700508118, 0.09060529619455338]"
final/full_stack/final_full_stack0036.tif,3,"[0.06842219084501266, 0.4481735825538635, 0.13684438169002533, 0.12784789502620697]"
final/full_stack/final_full_stack0036.tif,3,"[0.6925451755523682, 0.4562981128692627, 0.17014804482460022, 0.13632021844387054]"
final/full_stack/final_full_stack0036.tif,3,"[0.36116892099380493, 0.9550883173942566, 0.13363885879516602, 0.08982332795858383]"
final/full_stack/final_full_stack0037.tif,3,"[0.06821582466363907, 0.44894349575042725, 0.13643164932727814, 0.1256253868341446]"
final/full_stack/final_full_stack0037.tif,3,"[0.6931679844856262, 0.45614612102508545, 0.1695970743894577, 0.13366545736789703]"
final/full_stack/final_full_stack0037.tif,3,"[0.3609747588634491, 0.9550279974937439, 0.13449233770370483, 0.08994387835264206]"
final/full_stack/final_full_stack0038.tif,3,"[0.06842268258333206, 0.44849109649658203, 0.13684536516666412, 0.1280784010887146]"
final/full_stack/final_full_stack0038.tif,3,"[0.6924529671669006, 0.4559186100959778, 0.16729336977005005, 0.13258017599582672]"
final/full_stack/final_full_stack0038.tif,3,"[0.36176174879074097, 0.954334557056427, 0.13223209977149963, 0.09133090823888779]"
final/full_stack/final_full_stack0039.tif,3,"[0.6930121779441833, 0.4555132985115051, 0.16640155017375946, 0.13115838170051575]"
final/full_stack/final_full_stack0039.tif,3,"[0.06818181276321411, 0.4499310851097107, 0.13636362552642822, 0.12616516649723053]"
final/full_stack/final_full_stack0039.tif,3,"[0.3624670207500458, 0.9543097615242004, 0.13253448903560638, 0.09138035774230957]"
final/full_stack/final_full_stack0040.tif,3,"[0.06756456941366196, 0.44970396161079407, 0.1351291388273239, 0.12601913511753082]"
final/full_stack/final_full_stack0040.tif,3,"[0.6934303641319275, 0.45557400584220886, 0.16614177823066711, 0.1305525153875351]"
final/full_stack/final_full_stack0040.tif,3,"[0.3626035749912262, 0.9543647766113281, 0.1353428214788437, 0.09127029776573181]"
final/full_stack/final_full_stack0041.tif,3,"[0.06753484904766083, 0.4490008056163788, 0.13506969809532166, 0.12762919068336487]"
final/full_stack/final_full_stack0041.tif,3,"[0.6921530365943909, 0.45416295528411865, 0.1655738353729248, 0.12902332842350006]"
final/full_stack/final_full_stack0041.tif,3,"[0.36197152733802795, 0.9544797539710999, 0.1364169418811798, 0.09104034304618835]"
final/full_stack/final_full_stack0042.tif,3,"[0.06759322434663773, 0.4482121169567108, 0.13518644869327545, 0.13523057103157043]"
final/full_stack/final_full_stack0042.tif,3,"[0.6929674744606018, 0.4548420011997223, 0.16687797009944916, 0.12825682759284973]"
final/full_stack/final_full_stack0042.tif,3,"[0.3618417978286743, 0.9545597434043884, 0.13857007026672363, 0.09088054299354553]"
final/full_stack/final_full_stack0043.tif,3,"[0.06721961498260498, 0.44888317584991455, 0.13443922996520996, 0.13354671001434326]"
final/full_stack/final_full_stack0043.tif,3,"[0.693172812461853, 0.4555472135543823, 0.16833607852458954, 0.12897789478302002]"
final/full_stack/final_full_stack0043.tif,3,"[0.36125701665878296, 0.9535877108573914, 0.14036400616168976, 0.09234500676393509]"
final/full_stack/final_full_stack0044.tif,3,"[0.06763066351413727, 0.44879165291786194, 0.13526132702827454, 0.12650234997272491]"
final/full_stack/final_full_stack0044.tif,3,"[0.6936731934547424, 0.4559939205646515, 0.16805048286914825, 0.1327277570962906]"
final/full_stack/final_full_stack0044.tif,3,"[0.3620828092098236, 0.9538469910621643, 0.13939031958580017, 0.09197103977203369]"
final/full_stack/final_full_stack0045.tif,3,"[0.06789644062519073, 0.4482729136943817, 0.13579288125038147, 0.12726983428001404]"
final/full_stack/final_full_stack0045.tif,3,"[0.6935335993766785, 0.45612865686416626, 0.16711562871932983, 0.13357309997081757]"
final/full_stack/final_full_stack0045.tif,3,"[0.36491143703460693, 0.9558649063110352, 0.1323828399181366, 0.0882701650261879]"
final/full_stack/final_full_stack0046.tif,3,"[0.06777530908584595, 0.44758340716362, 0.1355506181716919, 0.12618814408779144]"
final/full_stack/final_full_stack0046.tif,3,"[0.6926650404930115, 0.45557594299316406, 0.16616977751255035, 0.13436535000801086]"
final/full_stack/final_full_stack0046.tif,3,"[0.36267581582069397, 0.9547925591468811, 0.1375538855791092, 0.090414859354496]"
final/full_stack/final_full_stack0047.tif,3,"[0.06732796132564545, 0.44636857509613037, 0.1346559226512909, 0.1268695592880249]"
final/full_stack/final_full_stack0047.tif,3,"[0.6932872533798218, 0.45571696758270264, 0.16554002463817596, 0.13402320444583893]"
final/full_stack/final_full_stack0047.tif,3,"[0.364173948764801, 0.9545047283172607, 0.12883932888507843, 0.09099041670560837]"
final/full_stack/final_full_stack0048.tif,3,"[0.06810317933559418, 0.44701579213142395, 0.13620635867118835, 0.12858115136623383]"
final/full_stack/final_full_stack0048.tif,3,"[0.6937404274940491, 0.45564979314804077, 0.16539600491523743, 0.13304974138736725]"
final/full_stack/final_full_stack0048.tif,3,"[0.363422691822052, 0.9544122815132141, 0.1302267163991928, 0.09117555618286133]"
final/full_stack/final_full_stack0049.tif,3,"[0.06835095584392548, 0.4483865797519684, 0.13670191168785095, 0.13386617600917816]"
final/full_stack/final_full_stack0049.tif,3,"[0.6934191584587097, 0.45538341999053955, 0.167257159948349, 0.13411428034305573]"
final/full_stack/final_full_stack0049.tif,3,"[0.36294785141944885, 0.9540088772773743, 0.13055555522441864, 0.09198220074176788]"
final/full_stack/final_full_stack0050.tif,3,"[0.06869105249643326, 0.44654402136802673, 0.13738210499286652, 0.1327349692583084]"
final/full_stack/final_full_stack0050.tif,3,"[0.69459068775177, 0.45570141077041626, 0.16706068813800812, 0.1340661346912384]"
final/full_stack/final_full_stack0050.tif,3,"[0.3618098795413971, 0.9542984366416931, 0.13455654680728912, 0.0914030522108078]"
final/full_stack/final_full_stack0051.tif,3,"[0.0682050883769989, 0.44579440355300903, 0.1364101767539978, 0.13462719321250916]"
final/full_stack/final_full_stack0051.tif,3,"[0.6954762935638428, 0.45539137721061707, 0.1690908670425415, 0.13349848985671997]"
final/full_stack/final_full_stack0051.tif,3,"[0.3620384931564331, 0.9544270038604736, 0.13376882672309875, 0.09114586561918259]"
final/full_stack/final_full_stack0052.tif,3,"[0.06786340475082397, 0.44683152437210083, 0.13572680950164795, 0.13773785531520844]"
final/full_stack/final_full_stack0052.tif,3,"[0.6951696872711182, 0.45530131459236145, 0.16807116568088531, 0.13281242549419403]"
final/full_stack/final_full_stack0052.tif,3,"[0.3631496727466583, 0.9545105695724487, 0.13438309729099274, 0.09097878634929657]"
final/full_stack/final_full_stack0053.tif,3,"[0.06771957874298096, 0.4470290541648865, 0.13543915748596191, 0.1377437710762024]"
final/full_stack/final_full_stack0053.tif,3,"[0.6944110989570618, 0.45453518629074097, 0.16747277975082397, 0.13208329677581787]"
final/full_stack/final_full_stack0053.tif,3,"[0.3655218780040741, 0.9547997117042542, 0.13429023325443268, 0.0904005840420723]"
final/full_stack/final_full_stack0054.tif,3,"[0.06793514639139175, 0.4473752975463867, 0.1358702927827835, 0.13831259310245514]"
final/full_stack/final_full_stack0054.tif,3,"[0.6947881579399109, 0.45515286922454834, 0.16801892220973969, 0.13193370401859283]"
final/full_stack/final_full_stack0054.tif,3,"[0.36522436141967773, 0.9553574323654175, 0.13463129103183746, 0.08928502351045609]"
final/full_stack/final_full_stack0055.tif,3,"[0.693916916847229, 0.4560539126396179, 0.16665348410606384, 0.13234078884124756]"
final/full_stack/final_full_stack0055.tif,3,"[0.06831644475460052, 0.4475663900375366, 0.13663288950920105, 0.13702453672885895]"
final/full_stack/final_full_stack0055.tif,3,"[0.3639957010746002, 0.9546129107475281, 0.13465306162834167, 0.09077426046133041]"
final/full_stack/final_full_stack0056.tif,3,"[0.6936061978340149, 0.4554045796394348, 0.1707206517457962, 0.13484618067741394]"
final/full_stack/final_full_stack0056.tif,3,"[0.06947435438632965, 0.44753193855285645, 0.1389487087726593, 0.1338520050048828]"
final/full_stack/final_full_stack0056.tif,3,"[0.36043044924736023, 0.9540316462516785, 0.1365596354007721, 0.0919366255402565]"
final/full_stack/final_full_stack0057.tif,3,"[0.0700232982635498, 0.44610530138015747, 0.1400465965270996, 0.14262546598911285]"
final/full_stack/final_full_stack0057.tif,3,"[0.6937663555145264, 0.45551612973213196, 0.17038774490356445, 0.13620983064174652]"
final/full_stack/final_full_stack0057.tif,3,"[0.3613659739494324, 0.9549624919891357, 0.13521645963191986, 0.09007503092288971]"
final/full_stack/final_full_stack0058.tif,3,"[0.06981614232063293, 0.44567057490348816, 0.13963228464126587, 0.14160507917404175]"
final/full_stack/final_full_stack0058.tif,3,"[0.6933438777923584, 0.4556252956390381, 0.17053081095218658, 0.1354535073041916]"
final/full_stack/final_full_stack0058.tif,3,"[0.3620627820491791, 0.9552129507064819, 0.13369426131248474, 0.08957398682832718]"
final/full_stack/final_full_stack0059.tif,3,"[0.06882444769144058, 0.44575828313827515, 0.13764889538288116, 0.13902342319488525]"
final/full_stack/final_full_stack0059.tif,3,"[0.6930479407310486, 0.4558742642402649, 0.17016535997390747, 0.13503693044185638]"
final/full_stack/final_full_stack0059.tif,3,"[0.3625166118144989, 0.9547159671783447, 0.13237975537776947, 0.090567946434021]"
final/full_stack/final_full_stack0060.tif,3,"[0.0695364773273468, 0.4458408057689667, 0.1390729546546936, 0.1396045684814453]"
final/full_stack/final_full_stack0060.tif,3,"[0.6931865215301514, 0.45604074001312256, 0.1702403724193573, 0.13355113565921783]"
final/full_stack/final_full_stack0060.tif,3,"[0.36198675632476807, 0.9540078639984131, 0.13295568525791168, 0.09198427945375443]"
final/full_stack/final_full_stack0061.tif,3,"[0.06938140839338303, 0.44639286398887634, 0.13876281678676605, 0.13988064229488373]"
final/full_stack/final_full_stack0061.tif,3,"[0.36297115683555603, 0.9523507952690125, 0.13534030318260193, 0.09529852122068405]"
final/full_stack/final_full_stack0061.tif,3,"[0.6935905814170837, 0.45492246747016907, 0.17202447354793549, 0.13347624242305756]"
final/full_stack/final_full_stack0062.tif,3,"[0.07044312357902527, 0.4462476968765259, 0.14088624715805054, 0.14057327806949615]"
final/full_stack/final_full_stack0062.tif,3,"[0.693579912185669, 0.4545418918132782, 0.1747158169746399, 0.13646113872528076]"
final/full_stack/final_full_stack0062.tif,3,"[0.3619365096092224, 0.9511147737503052, 0.13890160620212555, 0.0977705642580986]"
final/full_stack/final_full_stack0063.tif,3,"[0.6926469206809998, 0.45511507987976074, 0.17270082235336304, 0.13679522275924683]"
final/full_stack/final_full_stack0063.tif,3,"[0.07043057680130005, 0.4460846781730652, 0.1408611536026001, 0.14198242127895355]"
final/full_stack/final_full_stack0063.tif,3,"[0.3629060387611389, 0.9512757062911987, 0.1367875337600708, 0.09725164622068405]"
final/full_stack/final_full_stack0064.tif,3,"[0.06993215531110764, 0.44607120752334595, 0.13986431062221527, 0.14252550899982452]"
final/full_stack/final_full_stack0064.tif,3,"[0.6919412612915039, 0.45508307218551636, 0.1738557368516922, 0.13812465965747833]"
final/full_stack/final_full_stack0064.tif,3,"[0.36348751187324524, 0.95100337266922, 0.13525770604610443, 0.097600556910038]"
final/full_stack/final_full_stack0065.tif,3,"[0.07010366767644882, 0.44616013765335083, 0.14020733535289764, 0.1444074958562851]"
final/full_stack/final_full_stack0065.tif,3,"[0.6924218535423279, 0.4546268582344055, 0.17498689889907837, 0.13732562959194183]"
final/full_stack/final_full_stack0065.tif,3,"[0.36063793301582336, 0.9511565566062927, 0.1429358571767807, 0.0974695011973381]"
final/full_stack/final_full_stack0066.tif,3,"[0.06907136738300323, 0.44679954648017883, 0.13814273476600647, 0.14274725317955017]"
final/full_stack/final_full_stack0066.tif,3,"[0.6918772459030151, 0.45531752705574036, 0.1738404482603073, 0.13488298654556274]"
final/full_stack/final_full_stack0066.tif,3,"[0.3598463833332062, 0.9515647292137146, 0.14364822208881378, 0.09666682779788971]"
final/full_stack/final_full_stack0067.tif,3,"[0.06910336762666702, 0.4474881887435913, 0.13820673525333405, 0.14098669588565826]"
final/full_stack/final_full_stack0067.tif,3,"[0.6928390264511108, 0.4549049437046051, 0.1728638857603073, 0.13591764867305756]"
final/full_stack/final_full_stack0067.tif,3,"[0.36053475737571716, 0.9526728391647339, 0.1370314210653305, 0.09465432167053223]"
final/full_stack/final_full_stack0068.tif,3,"[0.06974106281995773, 0.44647759199142456, 0.13948212563991547, 0.14291608333587646]"
final/full_stack/final_full_stack0068.tif,3,"[0.6922121047973633, 0.45531129837036133, 0.1714746206998825, 0.13715492188930511]"
final/full_stack/final_full_stack0068.tif,3,"[0.3603414297103882, 0.9532386660575867, 0.13381822407245636, 0.09352277964353561]"
final/full_stack/final_full_stack0069.tif,3,"[0.06964333355426788, 0.44621965289115906, 0.13928666710853577, 0.13959965109825134]"
final/full_stack/final_full_stack0069.tif,3,"[0.6925770044326782, 0.45488446950912476, 0.1678425520658493, 0.13453587889671326]"
final/full_stack/final_full_stack0069.tif,3,"[0.36202272772789, 0.9548017978668213, 0.1328267604112625, 0.09039641916751862]"
final/full_stack/final_full_stack0070.tif,3,"[0.07000521570444107, 0.44536256790161133, 0.14001043140888214, 0.14059831202030182]"
final/full_stack/final_full_stack0070.tif,3,"[0.6924731135368347, 0.45504865050315857, 0.17122437059879303, 0.13621607422828674]"
final/full_stack/final_full_stack0070.tif,3,"[0.3627046048641205, 0.9554467797279358, 0.13259056210517883, 0.08910641074180603]"
final/full_stack/final_full_stack0071.tif,3,"[0.0693717747926712, 0.44594722986221313, 0.1387435495853424, 0.14044561982154846]"
final/full_stack/final_full_stack0071.tif,3,"[0.6933409571647644, 0.45530495047569275, 0.1703868806362152, 0.13644763827323914]"
final/full_stack/final_full_stack0071.tif,3,"[0.36326533555984497, 0.9554635286331177, 0.13438647985458374, 0.08907284587621689]"
final/full_stack/final_full_stack0072.tif,3,"[0.06809000670909882, 0.4465693533420563, 0.13618001341819763, 0.13711200654506683]"
final/full_stack/final_full_stack0072.tif,3,"[0.6930642127990723, 0.45572608709335327, 0.16880756616592407, 0.13476748764514923]"
final/full_stack/final_full_stack0072.tif,3,"[0.36388081312179565, 0.9555383324623108, 0.13250276446342468, 0.08892334997653961]"
final/full_stack/final_full_stack0073.tif,3,"[0.06784194707870483, 0.4457637667655945, 0.13568389415740967, 0.1383027583360672]"
final/full_stack/final_full_stack0073.tif,3,"[0.6929479837417603, 0.4552364945411682, 0.16921965777873993, 0.133359894156456]"
